polyline=false

3d=true

fit=false

0	100	0.126
0	99.9416	0.1342
0	99.7666	0.1587
0	99.4753	0.1994
0	99.0685	0.256
0	98.5471	0.328
0	97.9123	0.4152
0	97.1656	0.5169
0	96.3087	0.6324
0	95.3437	0.7611
0	94.2728	0.9022
0	93.0985	1.0549
0	91.8235	1.2182
0	90.4509	1.3914
0	88.9837	1.5735
0	87.4255	1.7635
0	85.78	1.9605
0	84.0508	2.1635
0	82.2421	2.3714
0	80.3581	2.5834
0	78.4032	2.7983
0	76.382	3.0152
0	74.2992	3.2329
0	72.1596	3.4506
0	69.9682	3.667
0	67.7303	3.8811
0	65.4509	4.0917
0	63.1354	4.2978
0	60.7892	4.498
0	58.4179	4.6912
0	56.0268	4.8762
0	53.6217	5.0516
0	51.2082	5.2162
0	48.7918	5.3687
0	46.3783	5.5077
0	43.9732	5.632
0	41.5822	5.7403
0	39.2108	5.8314
0	36.8646	5.9042
0	34.5492	5.9575
0	32.2698	5.9903
0	30.0318	6.0017
0	27.8404	5.991
0	25.7008	5.9576
0	23.618	5.9008
0	21.5968	5.8205
0	19.6419	5.7164
0	17.7579	5.5886
0	15.9492	5.4372
0	14.2201	5.2625
0	12.5745	5.0651
0	11.0163	4.8457
0	9.5492	4.6049
0	8.1765	4.3437
0	6.9015	4.0631
0	5.7272	3.7641
0	4.6563	3.4479
0	3.6913	3.1156
0	2.8344	2.7683
0	2.0877	2.4071
0	1.4529	2.033
0	0.9315	1.6471
0	0.5247	1.2501
0	0.2334	0.8429
0	0.0584	0.426
0	0	0
0	0.0584	-0.426
0	0.2334	-0.8429
0	0.5247	-1.2501
0	0.9315	-1.6471
0	1.4529	-2.033
0	2.0877	-2.4071
0	2.8344	-2.7683
0	3.6913	-3.1156
0	4.6563	-3.4479
0	5.7272	-3.7641
0	6.9015	-4.0631
0	8.1765	-4.3437
0	9.5492	-4.6049
0	11.0163	-4.8457
0	12.5745	-5.0651
0	14.2201	-5.2625
0	15.9492	-5.4372
0	17.7579	-5.5886
0	19.6419	-5.7164
0	21.5968	-5.8205
0	23.618	-5.9008
0	25.7008	-5.9576
0	27.8404	-5.991
0	30.0318	-6.0017
0	32.2698	-5.9903
0	34.5492	-5.9575
0	36.8646	-5.9042
0	39.2108	-5.8314
0	41.5822	-5.7403
0	43.9732	-5.632
0	46.3783	-5.5077
0	48.7918	-5.3687
0	51.2082	-5.2162
0	53.6217	-5.0516
0	56.0268	-4.8762
0	58.4179	-4.6912
0	60.7892	-4.498
0	63.1354	-4.2978
0	65.4509	-4.0917
0	67.7303	-3.8811
0	69.9682	-3.667
0	72.1596	-3.4506
0	74.2992	-3.2329
0	76.382	-3.0152
0	78.4032	-2.7983
0	80.3581	-2.5834
0	82.2421	-2.3714
0	84.0508	-2.1635
0	85.78	-1.9605
0	87.4255	-1.7635
0	88.9837	-1.5735
0	90.4509	-1.3914
0	91.8235	-1.2182
0	93.0985	-1.0549
0	94.2728	-0.9022
0	95.3437	-0.7611
0	96.3087	-0.6324
0	97.1656	-0.5169
0	97.9123	-0.4152
0	98.5471	-0.328
0	99.0685	-0.256
0	99.4753	-0.1994
0	99.7666	-0.1587
0	99.9416	-0.1342
0	100	-0.126
